,playlist,title,date,views,likes,dislikes,favs,comments,duration
0,[КОМП В МЕШКЕ],КОМП В МЕШКЕ / КОМПЬЮТЕР ИЗ ДНС ТАЩИТ - 50/50!,2020-11-19 15:36:42,761980,53379,1675,0,6138,2090
1,[КОМП В МЕШКЕ],"КОМП В МЕШКЕ / КУПИЛ СУПЕР ""ИГРОВОЙ"" ПК В МВИДЕО!",2020-08-23 16:25:29,1710315,118643,4505,0,12797,2129
2,[КОМП В МЕШКЕ],КОМП В МЕШКЕ / КАК Я КУПИЛ ИГРОВОЙ ПК DEXP В ДНС!,2020-06-26 14:00:16,2044531,122646,4998,0,33023,2138
3,[КОЛХОЗ],КОЛХОЗ / ВИДЕОКАРТА С КУЛЕРОМ И ВЕРТУШКАМИ ОТ КОРПУСА!,2019-09-14 16:28:58,207265,18837,531,0,2067,789
4,[КОЛХОЗ],КОЛХОЗ / ВНЕШНЯЯ ВИДЕОКАРТА В НОУТБУКЕ ИЗ ОБЫЧНОГО ПК!,2019-12-05 15:58:49,1011378,41889,1947,0,1743,885
5,[КОЛХОЗ],КОЛХОЗ / ИГРОВОЙ ПК БЕЗ ОХЛАЖДЕНИЯ - РЕАЛЬНО?,2020-06-06 13:19:12,235029,23821,627,0,1968,832
6,[КОЛХОЗ],"КОЛХОЗ / ПК ВНУТРИ ТЕЛЕВИЗОРА, МОНОБЛОК СВОИМИ РУКАМИ!",2020-09-10 14:51:22,233112,18095,966,0,1873,1045
7,[ОБРАЗОВАЧ],ОБРАЗОВАЧ / КАК РАЗОГНАТЬ ПРОЦЕССОР INTEL И AMD!,2021-03-06 13:38:01,102802,9013,221,0,1433,2282
8,[ОБРАЗОВАЧ],"ОБРАЗОВАЧ / ЛАГАЕТ ПК? АПГРЕЙД КОМПЬЮТЕРА ОТ ""А"" ДО ""Я""",2020-12-09 15:53:40,149884,13191,423,0,1921,1388
9,[ОБРАЗОВАЧ],ОБРАЗОВАЧ / КАК СОБРАТЬ КАСТОМНОЕ СВО (СЖО) В ПК?,2020-10-30 17:04:47,196143,9287,242,0,809,1450
10,[ОБРАЗОВАЧ],"ОБРАЗОВАЧ / РЕМОНТ НОУТБУКА САМОМУ, СТОП ДОМУШНИКАМ!",2020-08-19 14:56:07,109738,11679,289,0,1150,1165
11,[ОБРАЗОВАЧ],ОБРАЗОВАЧ / ГРЕЕТСЯ КОМПЬЮТЕР? ВСЁ ПРО ВОЗДУШНЫЕ ПОТОКИ!,2020-07-31 16:02:19,213381,17005,470,0,1878,1084
12,[ОБРАЗОВАЧ],ОБРАЗОВАЧ / КАК ВЫБРАТЬ ЛУЧШИЙ НОУТБУК ДЛЯ РАБОТЫ И ИГР?,2020-07-08 14:39:33,510811,26584,1022,0,2833,1662
13,[ОБРАЗОВАЧ],"ОБРАЗОВАЧ / ВСЯ ПРАВДА ПРО МОНИТОРЫ 60, 144 И 240 ГЦ!",2020-06-22 16:52:56,602564,38254,1563,0,3707,1005
14,[ОБРАЗОВАЧ],ОБРАЗОВАЧ / СВОЙ NAS СЕРВЕР И ВСЕ ПРО RAID МАССИВЫ!,2020-05-01 17:04:04,146707,10635,361,0,967,912
15,[ОБРАЗОВАЧ],ОБРАЗОВАЧ / ВЫБОР ТОП КЛАВИАТУРЫ ДЛЯ ИГР И РАБОТЫ!,2020-04-27 16:38:59,378864,20901,875,0,1725,1234
16,[ОБРАЗОВАЧ],ОБРАЗОВАЧ / КАК ВЫБРАТЬ ЛУЧШУЮ ИГРОВУЮ МЫШКУ?,2020-04-18 15:57:13,231412,14418,779,0,2187,959
17,[ОБРАЗОВАЧ],ОБРАЗОВАЧ / HEDT - САМЫЕ МОЩНЫЕ ПРОЦЕССОРЫ В МИРЕ!,2020-03-16 17:24:40,156322,9118,441,0,980,2385
18,[ОБРАЗОВАЧ],"ОБРАЗОВАЧ / ВЫБОР ИГРОВОЙ ВИДЕОКАРТЫ ДЛЯ ПК, AMD ИЛИ NVIDIA",2019-12-13 15:19:47,441813,26181,741,0,1591,1434
19,[ОБРАЗОВАЧ],"ОБРАЗОВАЧ / КАК УВЕЛИЧИТЬ ФПС В ИГРАХ, ОПТИМИЗАЦИЯ ПК",2019-11-21 17:29:26,711091,51719,1496,0,3958,1272
20,[ОБРАЗОВАЧ],ОБРАЗОВАЧ / ВЫБОР МОНИТОРА ДЛЯ ИГР И КАК НЕ КУПИТЬ ШЛАК!,2019-10-14 15:30:54,750774,45105,1469,0,3701,1498
21,[ОБРАЗОВАЧ],ОБРАЗОВАЧ / ВЫБОР МАТЕРИНСКОЙ ПЛАТЫ И ЕЕ ЧИПСЕТА,2019-07-19 16:52:53,617822,37086,978,0,2850,1124
22,[ПК НА ПРОКАЧКУ],ПК НА ПРОКАЧКУ / ТОП ПК ДЛЯ УЧИТЕЛЯ ШКОЛЫ!,2019-06-13 12:15:00,197927,23175,534,0,2390,2833
23,[ПК НА ПРОКАЧКУ],ПК НА ПРОКАЧКУ / ДВУХМЕТРОВЫЙ ОЛЕГ И ИГРОВОЙ ПК,2018-12-17 18:27:41,332929,43747,681,0,5165,2177
24,[ПК НА ПРОКАЧКУ],ПК НА ПРОКАЧКУ / КОМНАТА ГЕЙМЕРА ЗА 100000 РУБЛЕЙ!,2018-06-09 16:32:57,304645,17349,765,0,1570,1663
25,[СЕРВИС ПО-РУССКИ],СЕРВИС ПО-РУССКИ / САМО ПОЧИНИЛОСЬ - НО ТЫ ПЛАТИ,2018-02-21 20:03:19,895947,36616,1111,0,2674,1349
26,[ЗАКУП ПЕРИФЕРИИ],ПЕРИФЕРИЯ ДЛЯ ПК НА 15000! / ПОЛНЫЙ ЗАКУП ОТ GAMDIAS,2018-06-20 14:38:17,94483,5264,713,0,634,652
27,[ЗАКУП ПЕРИФЕРИИ],ЗАКУП ТОП ПЕРИФЕРИИ / ОБЗОР ДЕВАЙСОВ ОТ HYPERX!,2018-02-18 16:44:19,118612,4328,781,0,776,976
28,[ЗАКУП ПЕРИФЕРИИ],"ПОЛНЫЙ ЗАКУП ОТ GAMDIAS / МЫШЬ, КЛАВИАТУРА И ГАРНИТУРА",2017-12-14 15:33:07,68206,4086,408,0,484,682
29,[ЗАКУП ПЕРИФЕРИИ],"БЮДЖЕТНЫЙ ЗАКУП!  / ИГРОВАЯ МЫШЬ, КЛАВИАТУРА И КОВРИК",2017-06-14 16:45:49,120502,4144,886,0,801,732
30,[ЗАКУП ПЕРИФЕРИИ],ТОП ЗАКУП НА 30000 РУБЛЕЙ! / ПЕРИФЕРИЯ ДЛЯ ПК ОТ CORSAIR,2017-05-25 13:59:47,135662,3948,984,0,439,746
31,[ЗАКУП ПЕРИФЕРИИ],ЗАКУП К НОВОМУ ГОДУ / РАЗЛИЧНЫЕ ДЕВАЙСЫ ОТ RED SQUARE,2016-12-30 16:18:11,187937,5096,780,0,747,623
